feature,importance,importance_type
categorical__appointment_time_15:00,0.4624832371526684,absolute_coefficient
numeric__previous_no_shows,0.4474703994579533,absolute_coefficient
numeric__days_before_appointment,0.37581224425194515,absolute_coefficient
categorical__appointment_time_17:00,0.29089760944097165,absolute_coefficient
numeric__previous_appointments,0.2852562341382842,absolute_coefficient
categorical__appointment_time_09:00,0.2118112807453556,absolute_coefficient
categorical__new_patient_Yes,0.2091250294601104,absolute_coefficient
categorical__appointment_time_13:00,0.2074621368957345,absolute_coefficient
categorical__appointment_time_10:00,0.19536812495408776,absolute_coefficient
categorical__weekday_Monday,0.19143389233511346,absolute_coefficient
categorical__new_patient_No,0.18285389287285808,absolute_coefficient
categorical__reminder_sent_No,0.17794443935755366,absolute_coefficient
categorical__appointment_time_16:00,0.17748555536462662,absolute_coefficient
categorical__reminder_sent_Yes,0.15167330277030086,absolute_coefficient
categorical__appointment_time_14:00,0.12927293280414814,absolute_coefficient
categorical__weekday_Saturday,0.12504052832460227,absolute_coefficient
categorical__weekday_Tuesday,0.09553577448975517,absolute_coefficient
categorical__appointment_time_11:00,0.08211725723464161,absolute_coefficient
categorical__appointment_type_Check-up,0.05916257773229879,absolute_coefficient
categorical__weekday_Wednesday,0.05906628869089058,absolute_coefficient
categorical__weekday_Thursday,0.058363325284351265,absolute_coefficient
categorical__weekday_Friday,0.05471058365995791,absolute_coefficient
numeric__age,0.051957300978343966,absolute_coefficient
categorical__appointment_type_General,0.028733569362293297,absolute_coefficient
categorical__gender_Male,0.02669035734924924,absolute_coefficient
categorical__appointment_type_Follow-up,0.014915123789626233,absolute_coefficient
categorical__appointment_type_Specialist,0.010757252006873509,absolute_coefficient
categorical__gender_Female,0.00041922076199667283,absolute_coefficient
